"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","66/2156","116/9399",0.568965517241379,2.48038353272343,8.75269753469554,2.26593885871528e-15,7.93078600550349e-13,4.46032175347113e-13,"2744/5579/5582/108/10681/775/5532/5534/2773/55970/22941/2913/2904/5567/2785/23154/2776/3760/2902/116443/2778/2917/57030/2787/2775/2783/2912/2915/2905/157/27165/5530/50944/107/2911/85358/1742/59345/2903/57084/6511/9762/9456/9454/111/9229/2770/3708/23236/5595/776/773/6505/5337/6507/51764/3709/8605/54331/2891/2893/2890/6506/94235/2892/2786",66
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","127/2156","300/9399",0.423333333333333,1.84550556586271,8.12013260867056,2.60832380772845e-14,4.56456666352479e-12,2.56713974760643e-12,"774/5601/6416/5058/2316/5598/51776/10368/1849/5579/5582/1850/5924/998/51701/5494/9693/775/5532/5534/23162/408/55970/7157/5801/5567/5602/4208/5604/673/3925/7132/777/3654/4137/3551/9064/1956/5923/4615/782/9261/23542/5970/84867/285/2768/5530/4293/1844/3315/5599/6788/785/10000/55799/59283/7042/781/10369/4294/56034/7040/4775/5228/84451/4609/7422/9252/1435/836/627/783/4915/2066/208/3725/5595/776/784/3815/929/6196/1944/1946/773/4214/3727/355/3310/27330/5600/1969/3556/1846/9175/4616/8605/5880/9254/3479/1647/7010/1848/2254/786/2065/7039/8913/2263/22808/6237/5607/2324/1945/10125/2323/2261/1943/2064/80310/25780/2122/7048/4804/3082/4233",127
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","88/2156","199/9399",0.442211055276382,1.92780227668957,7.21723612744828,1.61950516885335e-11,1.88942269699557e-09,1.06262268973886e-09,"5579/5582/3356/108/3358/10681/2773/55970/2913/2904/2558/5567/2785/2555/2776/2550/2563/2902/2562/116443/2778/2917/57030/140679/2787/2775/4985/2774/2783/2912/3274/11255/2915/2905/1128/2565/107/5173/2911/1812/6866/2566/2557/59345/2903/6863/57084/2560/5026/6511/2554/1141/2561/2743/6529/153/147/6540/111/4986/2770/9568/3361/1131/23236/5368/6539/1139/6505/5179/6507/51764/3269/54331/2891/150/2893/2890/6506/64805/148/22953/5028/94235/2892/53829/8001/2786",88
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","65/2156","133/9399",0.488721804511278,2.1305641190174,7.16403545613411,4.01233655073303e-11,2.74871112279024e-09,1.54589166905797e-09,"774/5601/55844/805/5579/5582/10681/775/5532/2773/408/55970/2904/5567/5602/2785/816/818/3800/2776/5515/5522/3760/808/2778/2787/2775/2774/2783/815/5521/50632/5530/3763/801/1812/59345/2903/3798/5599/3765/10000/111/2770/3708/23236/208/776/55012/773/84152/1388/5600/51764/28227/3709/54331/2891/2893/2890/94235/5516/5519/2892/2786",65
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","52/2156","97/9399",0.536082474226804,2.33703115735516,7.22141133733294,4.62368750491978e-11,2.74871112279024e-09,1.54589166905797e-09,"805/5579/5582/108/10681/775/2773/55970/2904/5567/2785/816/818/2776/3760/2902/808/2983/2778/2787/2775/2783/815/6262/4842/2905/3763/801/107/116/59345/2903/3765/2982/111/2770/9252/3708/9722/23236/5595/776/51764/54331/2891/2893/2890/8913/6261/94235/2892/2786",52
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","49/2156","89/9399",0.550561797752809,2.40015321756895,7.24066711589638,4.71207621049756e-11,2.74871112279024e-09,1.54589166905797e-09,"774/23710/2744/5579/5582/108/10681/775/2773/55970/2558/5567/2785/2555/2550/4905/2572/2563/2562/140679/2787/2775/2783/57468/2565/27165/10243/3763/107/2566/2557/59345/2560/2554/2561/6529/6540/111/2770/9568/5334/776/2571/6539/773/51764/54331/94235/2786",49
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","118/2156","299/9399",0.394648829431438,1.72045656207147,6.90725604816822,5.86539497965481e-11,2.9326974898274e-09,1.64936670856459e-09,"57180/5601/5058/57522/5579/5582/9423/998/56924/2036/9693/9223/288/5602/11141/5604/81873/3786/23136/10382/22999/5291/9901/3785/7277/8828/5818/139065/8541/3739/6586/5063/50848/137970/3678/4067/4478/8499/58494/117178/10458/84623/287/3676/8829/145581/8826/91768/57144/4301/5599/6711/3737/55243/10000/90249/57524/56288/5962/8573/10627/3688/3897/5819/114798/5588/10095/5829/5789/26047/3736/1796/6334/6712/23085/8633/57731/4008/208/7204/5595/5803/26050/23426/6900/8506/253559/7410/4684/4155/1272/8497/3689/84617/3385/4099/5600/3556/4685/653857/3690/4916/3635/87/6585/80059/7430/4629/9353/23380/23114/199731/5375/120425/342035/150084/999/57689",118
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","73/2156","158/9399",0.462025316455696,2.01418179469717,7.01403170622919,7.4195846498525e-11,3.15934142248526e-09,1.77683261956314e-09,"10403/7465/983/1111/7272/5933/1017/5111/7157/23047/4174/5515/9133/1032/1031/4172/7533/57082/4176/699/890/9700/4171/701/7534/26271/894/10735/10926/151648/995/7042/993/1875/4085/991/8243/891/9212/7040/1019/157570/1663/4609/9232/8900/90381/9126/5347/7029/4175/595/8318/4173/1021/10274/5934/4998/4616/23383/113130/1647/81620/4193/7027/546/1028/27085/1029/4087/5516/5519/1030",73
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","88/2156","204/9399",0.431372549019608,1.88055222088836,6.9370877755546,8.12402080067639e-11,3.15934142248526e-09,1.77683261956314e-09,"960/5058/2316/4660/5579/5582/998/288/7157/7480/2335/5567/816/967/7097/5604/818/3091/3339/673/6608/5291/6774/1956/815/3678/4478/5328/7474/287/7078/8826/8324/23365/10000/7042/5962/3236/1278/3688/4313/5829/7040/4609/7422/1277/836/3708/2066/208/27250/857/5595/3059/595/10855/2535/7074/8321/6382/7410/8326/2817/355/7855/5600/3690/3709/4318/3479/867/286/7477/7430/2065/22808/79923/4193/10818/6237/6093/3693/4060/4087/2064/858/3082/4233",88
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","49/2156","91/9399",0.538461538461538,2.3474025974026,7.04648846068353,1.36181516775743e-10,4.766353087151e-09,2.68062564600673e-09,"774/5579/5582/5136/108/10681/2773/408/55970/2558/5567/2785/2555/2550/3760/2563/5138/2562/2778/140679/2787/2775/2783/2565/157/3763/107/1812/2566/2557/59345/5137/3765/2560/2554/2561/111/2770/5141/9568/773/5153/5143/51764/54331/10846/50940/94235/2786",49
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","100/2156","254/9399",0.393700787401575,1.71632360889954,6.31418241610152,2.04825363980832e-09,6.51717067211737e-08,3.66529598702541e-08,"774/2149/887/805/5579/5582/5733/3356/7852/5136/108/3358/775/5532/5534/57118/2904/5567/816/57172/818/2776/3706/6546/6543/491/490/2902/116443/808/2778/777/2774/1956/815/6262/3274/4842/2915/488/2905/1128/1909/5530/492/801/107/2911/1812/5137/2903/291/814/5026/153/147/56034/4775/7422/3361/444/1131/3708/4915/23236/2066/776/2185/1139/255231/773/5021/5153/7125/4773/4916/844/3709/3269/3707/1910/2254/100130933/4485/6547/2065/7039/8913/2263/5255/6261/2324/148/22953/2261/2064/80310/886/3082/4233",100
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","68/2156","154/9399",0.441558441558442,1.92495723200732,6.31409934969126,3.58118313180329e-09,1.04451174677596e-07,5.87439689164224e-08,"55844/805/10368/108/775/7170/2773/5567/816/818/2776/5515/6546/5522/6543/491/490/11069/808/2778/815/6262/5521/782/488/492/801/107/785/10000/55799/59283/781/153/478/147/10369/111/2770/9252/10411/783/23236/208/5595/64208/776/55012/784/5502/481/23533/6324/7169/1388/5600/7168/28227/9254/7171/786/6547/148/5516/5519/5294/4625/3784",68
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","42/2156","79/9399",0.531645569620253,2.31768864047345,6.4165450455826,4.72290854754452e-09,1.27155230126199e-07,7.15128662664635e-08,"774/594855/535/161/6804/8992/1212/534/51606/5864/523/4905/6844/529/528/22999/6812/57030/140679/112755/526/6857/1759/26052/23545/57084/6511/10815/6529/6616/440279/6540/10814/525/23025/6539/1785/773/6505/6507/6506/10312",42
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","68/2156","157/9399",0.43312101910828,1.88817460973967,6.12277152746585,9.43922424550288e-09,2.27124746088215e-07,1.27736323363899e-07,"1978/805/10758/983/3133/8945/1111/5933/1017/3107/5532/5534/678/7157/2305/3106/5604/9133/3135/808/5291/4683/3105/890/894/3134/9261/5970/5054/5530/3486/801/291/10000/7042/993/1875/891/7040/1019/4775/4609/2113/3708/208/8900/5595/776/4605/595/1021/5934/5600/4773/286826/4616/3709/1647/3364/22808/4193/6237/6009/204851/1029/4087/7048/1030",68
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","67/2156","154/9399",0.435064935064935,1.89664903741898,6.12085716847896,9.73391768949494e-09,2.27124746088215e-07,1.27736323363899e-07,"805/4660/5598/10368/5579/5582/108/775/5532/5534/2773/10645/57118/5567/4208/816/57172/5604/818/2776/3760/808/2983/2778/2775/1956/815/6262/782/3761/5530/3763/801/107/3765/785/814/55799/59283/781/2982/10369/111/4775/2770/783/3708/23236/3725/5595/3768/5563/776/784/595/23533/5021/4773/3709/8605/9254/1827/786/5607/6261/6093/5294",67
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","89/2156","226/9399",0.393805309734513,1.71677927003464,5.95068299911725,1.56692728174995e-08,3.42765342882802e-07,1.92773290583711e-07,"6750/5601/2149/5058/805/1392/4852/5733/108/775/2773/2904/5567/5602/816/5604/818/2550/7432/673/491/490/6662/11069/2902/116443/808/5291/2778/6751/815/6262/6752/5970/488/2905/1128/1909/1261/492/801/107/116/1812/4301/2903/5599/814/10000/4886/153/64399/478/4792/111/2770/10411/5141/627/9568/5465/208/3725/5595/64208/1394/776/481/7074/7410/5021/1258/84152/5143/64411/268/5337/3991/5348/5880/2891/2893/2737/10846/2890/6237/6093/1908/2892",89
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","66/2156","154/9399",0.428571428571429,1.86834084283064,5.92761498726666,2.57731787223053e-08,5.30624267812169e-07,2.98426279942483e-07,"83660/2316/3913/998/3696/3915/3371/3987/1282/1284/2335/9459/5291/1956/894/5649/3678/3911/3676/10979/3679/10000/3912/3691/1278/3688/1291/56034/5829/7040/5228/7422/1277/3672/83706/208/29780/3910/595/3381/64098/1292/3689/3385/1311/80144/341640/3690/718/3680/5880/3479/87/2324/7412/3693/7143/2317/255743/2064/1280/80310/1293/3082/4233/999",66
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","84/2156","212/9399",0.39622641509434,1.72733398676795,5.84383318072626,2.86235800678163e-08,5.56569612429762e-07,3.1301809781764e-07,"23683/2149/83660/805/5579/5582/998/108/9693/9223/2773/25865/2904/5604/2776/673/11069/2902/808/5291/2778/2775/1956/285/9771/801/5909/107/26037/4301/2903/10000/55740/56288/5587/2533/3688/56034/111/5590/5228/7422/2770/10411/1435/1902/23236/208/9170/5595/3815/1944/1946/7074/7410/3689/64411/5600/1969/23566/3690/10636/5880/3479/7010/2254/2263/22808/6237/2324/1945/2357/5028/3397/23094/2261/1943/80310/25780/4804/3082/1268/4233/999",84
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","26/2156","41/9399",0.634146341463415,2.76453685687135,6.17751769497377,3.32337399998694e-08,6.12200473681804e-07,3.44305228807511e-07,"774/2904/2558/2555/2563/2902/2562/116443/57030/140679/2905/2565/2566/2557/2903/57084/2560/2554/1141/2561/1139/773/2891/2893/2890/2892",26
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","119/2156","333/9399",0.357357357357357,1.55788580788581,5.65512786388195,4.98881810948879e-08,8.73043169160539e-07,4.91004729723371e-07,"1978/55844/84441/4853/535/3133/3913/998/3696/3915/5933/1017/3371/3107/9223/8992/534/51606/7157/1282/1284/7480/2335/3106/5567/5604/1740/523/1452/5515/5522/529/3135/528/5291/2778/7132/3955/3105/890/1741/3551/1956/5521/894/3134/5649/3678/182/5970/3911/7474/23462/3676/526/7098/8324/841/23545/3679/10000/3912/56288/3691/581/1278/3688/1291/5590/5829/525/3280/1019/7422/1277/3672/836/1108/27175/4851/3455/208/83439/8900/3910/5595/55012/595/2535/8321/10474/3381/54626/1021/8326/1292/355/7855/5934/4242/1311/55502/3690/28227/3680/6772/7337/9636/7477/4193/10312/8312/6009/3693/7143/5516/1280/5519/1293",119
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","67/2156","160/9399",0.41875,1.82552469851577,5.7459313780287,6.05989211407483e-08,1.00998201901247e-06,5.68019962572428e-07,"9369/4267/3133/3696/3107/80381/3106/9071/3135/965/1462/5818/139065/3105/50848/3134/3126/257194/58494/3122/3676/3113/3123/3688/3897/5819/114798/3108/5789/26047/3115/3127/5788/9378/84628/26050/3119/6900/5175/6401/8506/6382/933/4684/5797/1272/3689/3385/4099/4685/23308/3117/3680/9672/9379/64101/23114/5010/7412/6614/24146/958/22854/120425/137075/999/57689",67
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","74/2156","184/9399",0.402173913043478,1.75326187787368,5.62976266157883,9.34199546875128e-08,1.48622655184679e-06,8.3586275246722e-07,"5058/64218/57522/9423/998/56924/91653/7852/5532/5534/2773/816/818/6608/5291/9901/6586/5063/815/137970/84448/5530/7474/8829/23654/23365/57144/10154/90249/55740/2051/56288/10507/10627/25791/1020/3688/3897/5590/4775/2770/56963/8633/84628/5595/10501/2044/1944/1946/655/2045/1949/1969/4773/2043/5880/57556/6585/64101/59277/3985/6237/9353/23380/6093/1945/2048/22854/7869/10371/1943/9723/4233/57689",74
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","63/2156","149/9399",0.422818791946309,1.84326244225573,5.66067057552986,9.77181050009878e-08,1.48701464131938e-06,8.3630597872699e-07,"774/5601/5579/5582/108/10681/775/2773/55970/2558/4714/5567/5602/2785/2555/2776/3760/2563/2562/22999/57030/140679/2787/2775/2783/2915/222236/2565/3763/107/2911/2566/2557/59345/5599/57084/3765/2560/2554/2561/11343/111/2166/2770/57406/3708/23236/5595/776/773/5600/51764/3709/54331/2891/2893/2890/56901/4724/94235/2892/2786/1268",63
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","79/2156","203/9399",0.389162561576355,1.69653938601863,5.47365061028107,1.81012450172253e-07,2.63976489834535e-06,1.48461965711453e-06,"5601/83660/5058/2316/4660/5579/5582/3913/998/56924/3696/3915/3371/1282/1284/2335/5602/5604/673/5291/2012/1956/5923/5063/894/5649/3678/6464/3911/3676/57144/5599/7791/3679/8395/10000/3912/3691/10627/1278/3688/1291/56034/5829/5228/7422/1277/3672/208/29780/3725/3910/857/5595/53358/595/7410/3381/64098/1292/1311/3690/3680/5880/3479/87/8394/2324/6093/3693/7143/2317/2064/1280/80310/858/1293/3082/4233",79
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","48/2156","105/9399",0.457142857142857,1.99289689901935,5.58187781575483,1.97148315022856e-07,2.76007641031998e-06,1.55228357512733e-06,"10368/3696/108/775/7170/5567/6546/6543/2778/6262/782/3678/4842/4000/488/3676/107/785/3679/55799/59283/7042/3691/781/153/3688/10369/111/7040/6641/3672/783/8082/776/784/7169/6444/7168/3690/1837/3680/9254/3479/7171/786/6547/3693/4625",48
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","82/2156","214/9399",0.383177570093458,1.67044804327848,5.41271661434593,2.31251249523152e-07,3.11299758973474e-06,1.75076856926435e-06,"7465/5601/5058/805/983/3133/5579/8945/5582/1111/56924/7852/3107/10681/85363/5532/5534/2773/55970/25939/3106/5602/2785/7097/5604/2776/9133/3135/808/5291/2787/2775/7132/3654/3105/3551/2783/4615/5063/3134/6890/5970/5530/801/59345/841/995/9582/57144/5599/10000/8906/581/27350/891/4792/5829/4775/2770/836/3708/208/3725/5595/811/2185/567/6892/355/5600/4773/684/51764/8905/3709/54331/5880/6923/3985/115004/94235/2786",82
"Organismal Systems","Nervous system","hsa04730","Long-term depression","32/2156","60/9399",0.533333333333333,2.32504638218924,5.6174520519118,2.92551226179221e-07,3.79233070973065e-06,2.13282960216431e-06,"1392/5579/5582/2773/5604/2776/5515/673/2983/2778/2775/2781/4842/4067/2768/2911/2982/2770/3708/23236/5595/1394/773/3709/8605/2891/3479/2890/6261/5516/5519/2892",32
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","41/2156","86/9399",0.476744186046512,2.07834814686974,5.48082930336788,3.77546854164091e-07,4.71933567705113e-06,2.65418277175507e-06,"10368/3696/775/6546/6543/6262/782/3678/4842/4000/488/3676/785/3679/1495/55799/59283/3691/781/3688/10369/6641/3672/783/83439/8082/776/784/88/29119/6444/3690/1837/3680/9254/1496/786/6547/3693/51176/5318",41
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","34/2156","67/9399",0.507462686567164,2.21226428156066,5.43288111244682,5.92664099012954e-07,7.15284257429428e-06,4.02280168840009e-06,"805/5579/5582/775/5532/5534/2904/5567/816/5604/818/2776/673/2902/808/815/2915/2905/5530/801/107/2911/2903/814/10411/3708/23236/5595/5502/6196/27330/3709/2891/2890",34
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","123/2156","362/9399",0.339779005524862,1.48125365163645,5.09447033830221,7.04401202321397e-07,8.21801402708297e-06,4.62186052049478e-06,"1978/2149/55844/3913/3696/3915/1017/3371/9223/10681/1977/55970/7157/1282/1284/23035/2335/2785/7097/5604/5515/4170/7533/5522/5291/2787/3551/1956/2783/7534/5521/894/5649/3678/5970/285/1128/3911/5586/9470/7184/3676/59345/3679/10000/3912/672/3691/1278/3688/1291/56034/1019/5228/4609/7422/1277/1435/3672/627/54541/3455/1902/4915/2066/208/9170/9180/3910/5595/5563/55012/3815/595/1944/1946/3574/23533/3381/1021/1292/5934/1388/1311/1969/23566/3690/51764/28227/4515/3680/54331/3479/7010/2254/3566/2065/7039/2263/4193/2324/1945/2323/6009/3693/94235/6850/2261/10110/7143/5516/1943/2064/1280/80310/5519/5294/10018/2786/1293/4804/3082/4233",123
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","50/2156","115/9399",0.434782608695652,1.89541824634992,5.27096521600766,7.38289320411784e-07,8.33552458529434e-06,4.68794916526328e-06,"774/5579/5582/108/10681/775/2773/55970/5567/2785/816/5604/818/2776/3760/3786/5291/3785/2787/2775/2783/815/1128/3761/3763/107/59345/814/10000/56479/1141/111/2770/1131/3708/23236/208/5595/3768/776/1139/23533/773/51764/3709/54331/94235/5294/2786/3784",50
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","86/2156","233/9399",0.369098712446352,1.60907179883268,5.13616989996614,7.78949995798111e-07,8.51976557904184e-06,4.79156740836338e-06,"7431/83660/3696/7170/2006/4811/288/4001/1282/1284/2335/29767/1466/3339/11155/10611/1462/23224/3678/4000/287/3676/1281/27295/6711/7791/23345/3679/3691/9260/478/1278/3688/1291/84823/7138/3930/1290/1277/6712/6641/3672/57731/2026/10529/8082/481/88/171024/9124/6382/633/29766/255631/9172/1292/7169/6444/825/1311/72/7125/7168/3690/1837/3680/9672/7171/23500/4629/2318/2201/1289/57644/3693/91977/22795/114793/8735/5318/2023/4608/4625/1293/9499/8572",86
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","84/2156","227/9399",0.370044052863436,1.61319297442645,5.10224057262491,9.24716238165147e-07,9.80759646538792e-06,5.51585124519561e-06,"1978/805/3133/5579/5582/5733/3588/7852/108/3107/10681/5532/5534/2773/55970/7157/3106/5567/2785/5604/2776/3135/808/5291/2778/2787/2775/7132/3105/6774/3551/1956/2783/11214/3134/6890/5970/2768/5530/801/107/23365/59345/841/10000/581/4792/111/5829/1019/4775/4609/7422/2770/836/3708/23236/208/5595/811/595/2185/567/1021/6892/355/1388/5600/4773/3690/51764/6667/3709/54331/5880/4193/115004/6093/6009/6376/94235/1029/6352/2786",84
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","41/2156","89/9399",0.460674157303371,2.00829146776177,5.2142171172792,1.17908355556201e-06,1.21376248366678e-05,6.82627321641165e-06,"960/3161/3913/3696/3915/3371/1282/1284/9899/2335/3339/961/5649/3678/3911/3676/3679/3912/3691/1278/3688/1291/9900/22987/1277/3672/3910/6382/3381/1292/1311/80144/341640/3690/3680/3693/7143/948/255743/1280/1293",41
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","34/2156","69/9399",0.492753623188406,2.14814067919658,5.22229840453496,1.42668492088564e-06,1.42668492088564e-05,8.02376181069517e-06,"805/5579/5582/6804/775/5532/5534/2904/5567/816/818/2902/116443/808/2778/815/2905/5530/801/5173/1812/2903/814/111/3725/776/84152/1388/2891/2893/2890/23237/2354/2892",34
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","45/2156","103/9399",0.436893203883495,1.90461930579822,5.03638895424092,2.22782749869684e-06,2.16594340151081e-05,1.21813959724067e-05,"5601/6416/55844/2773/5602/7097/2776/5515/5522/5291/2778/2775/7132/3654/2774/3551/712/4615/5521/5970/5054/107/841/714/5599/713/10000/7042/8837/4792/7040/2770/23236/208/3725/5595/811/355/5600/718/6352/4087/5516/5519/7048",45
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","76/2156","205/9399",0.370731707317073,1.61619077786325,4.86656727095205,2.79349573531124e-06,2.64249596583496e-05,1.48615562589816e-05,"960/7431/5601/6416/3133/4734/1017/3107/7157/3106/5602/7097/3135/965/5291/3654/3105/890/6774/3551/3665/4615/894/3134/7979/3126/6890/5970/57506/4067/3122/5717/3113/841/5599/8819/956/3123/10000/581/4792/3108/3280/1019/3115/4940/3127/953/4609/836/3455/208/8900/3725/811/3119/595/567/4938/1021/6892/355/5600/3627/4616/1643/3117/1647/6772/9636/4193/864/958/4939/6850/10018",76
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","36/2156","77/9399",0.467532467532468,2.0381900103607,4.99057417611367,3.41278194451592e-06,3.14335179100151e-05,1.76783995463844e-05,"5601/675/998/7157/5602/5604/673/9459/5291/6774/3551/1956/5970/5599/10000/7042/581/7040/1019/5888/7422/208/5595/595/1021/5337/4616/1643/5880/1647/6772/7039/1029/4087/2064/7048",36
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","53/2156","130/9399",0.407692307692308,1.77731910946197,4.86897377660756,3.77234652039071e-06,3.38543918496602e-05,1.90399136116886e-05,"5601/6416/108/10681/2773/408/55970/1282/1284/5567/5602/2785/5604/5291/2778/2787/2775/59350/1956/2783/4842/5970/6464/1281/107/59345/5599/10000/1278/4792/111/5590/4313/7040/7422/2770/1277/23236/208/3725/5595/53358/1388/5600/51764/4318/54331/59/1910/94235/4087/7048/2786",53
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","43/2156","99/9399",0.434343434343434,1.89350368246472,4.87590601419045,4.48060761084211e-06,3.92053165948685e-05,2.20493058744072e-05,"10368/3696/775/7170/6546/6543/6262/782/3678/4842/4000/488/3676/785/3679/55799/59283/7042/3691/781/3688/10369/7040/6641/3672/783/5563/8082/776/784/7169/6444/7168/3690/1837/3680/9254/3479/7171/786/6547/3693/4625",43
